rating,title,text,helpful_vote,verified_purchase,label,review_length,exclamation_count,positive_words,negative_words,question_mark_count,contains_image,user_review_burst,is_burst_review
5,You will love it!,"It's battery powered! Love love it! Works perfectly I don't care what the negative comments are- nothing negative about it. Great for the purse or cosmetic bag. Travels great!",0,TRUE,0,152,4,7,1,0,0,99999,0
5,"Good, clean soap","Good stuff! Yes - it's weird to cover yourself with grey foam that smells like a campfire - but when you rinse it off, you're actually clean. No fragrance, no slime. Nice soap!",3,TRUE,0,171,1,5,0,0,0,99999,0
5,Love It !!!,"I've had this for a little over a month now and I have NOTHING bad to say. Gives a close shave and is VERY QUIET !!!",0,FALSE,1,95,3,4,1,0,0,99999,0
2,Two Stars,"Lashes ere too short didn't fit my eye",0,TRUE,0,40,0,0,2,0,0,99999,0
1,I can't used,"The magnet doesn't work is impossible to used. I not sure if i can return it",0,TRUE,0,70,0,0,3,0,0,99999,0
5,Love lume,"Seriously the ONLY natural deodorant I can use. I've tried about 15 other natural deodorants and NONE of them worked like Lume. If it's the weekend and I dont shower I won't even begin to start smelling, lume seriously works! I love this stuff!!!!",0,TRUE,1,211,6,7,2,0,0,99999,0
3,"Horrible smell, smelling like lemons is not a manly ...","Horrible smell, smelling like lemons is not a manly in a shape or form. But besides the bad smell, it does pretty good.",0,TRUE,0,114,0,0,3,0,0,99999,0
5,Wonderful,Best purchase ever!!!,0,FALSE,1,22,3,2,0,0,0,99999,0
5,I love the jewelry even though its too small for my ...,"I love the jewelry even though its too small for my big forehead. It adds a glamurous look to anything !!",0,TRUE,0,94,2,2,1,0,0,99999,0
5,can't live without it!,"I do my own artificial nail tips. I've found this to be the best glue. I can't live without this stuff. And the price is fabulous!!",0,TRUE,0,123,2,4,0,0,0,99999,0
5,Love these!,These were excellent for me.,0,TRUE,1,25,0,2,0,0,0,99999,0
5,Great bags,"Perfect. For my Cornhole bags! Bigger ones hold 2 sets smaller ones 1 set, clear one for<br />Personal items",1,TRUE,0,102,0,1,0,0,0,99999,0
5,Yes. I will order this product again!,Yes. I will order this product again!,0,TRUE,1,40,0,1,0,0,0,99999,0
2,Raw Kokum Butter,"it was very hard & did not mix well with my olive oil, peppermint oil, coconut oil & shea butter mixture.... will not be purchasing again",0,TRUE,0,124,0,0,4,0,0,99999,0
5,Love this makeup,love it. Great coverage,1,TRUE,1,32,0,2,0,0,0,99999,0
1,Defective,"The item was very poorly wrapped and defective - top part does not lock into the bottle below. The bottle can easily come off the top spray part when you use it. Water also drifts out as you spray. It does have continuous spray, meaning you can press once and the spray will come out for a few seconds without stopping.",0,TRUE,0,255,0,0,2,0,0,99999,0
5,Why else would you buy two?,Best cleanser for sensitive oily skin! So I bought 2.,0,TRUE,0,49,1,2,0,0,0,99999,0
3,Not so great product.,"I was expecting a better quality product. The tool with the loop fell apart after the second strand. I had to hot glue it back together to be able to use.The second tool isn't working well the latch is loose so it tends to pull the silicone out the hair staple.The pliers are great and sturdy.",0,TRUE,0,242,0,1,3,0,0,99999,0
5,"Great product, fast service","I ordered this hair on Saturday And received it on Monday, I received email from a very pleasant customer service representative Eric,<br />The hair is soft and the texture feels great, I love the waves and how thick the bundle is, cant wait to install it, more review to follow.",9,TRUE,0,259,0,4,0,0,0,99999,0
5,"Clean, convenient, and comfortable!","These are so convenience to carry with you in a purse or handbag, but what I love most about them is that they really do relieve itching.",0,TRUE,0,128,0,2,0,0,0,99999,0
5,GOOD,SMELL NICE BUT NOT LIKE LAVENDER,1,TRUE,1,35,0,2,1,0,0,99999,0
1,One Star,No se ajustan a unas cejas normales.,0,TRUE,1,38,0,0,1,0,0,99999,0
5,Smooth heels,"This is one of the best products I have used for my feet to remove the callouses. It smooths the skin and doesn't rub too hard or scrape my skin. It doesn't leave any cuts or raw patches. This is easy to clean and use. I even got my husband to start using it and he loves it. Cleans up quickly and easily. I would recommend this to anyone who wants to have smooth heels and feet, and also to those who have tender skin because it doesn't hurt.",0,TRUE,0,400,0,5,0,0,0,99999,0
4,Exfoliate first,"Soft, wears off over the day. Make sure you exfoliate lips before you wear",0,TRUE,0,72,0,1,0,0,0,99999,0
5,"Not too thick, not too thin. Just right ...","Not too thick, not too thin. Just right . Perfection on a budget",0,TRUE,0,78,0,3,0,0,1,99999,0
5,Great Purchase!!,"I love love love this hair! So soft, bouncy, full. Worth the purchase.. will be getting more! This is my 4th purchase!",0,TRUE,0,110,3,4,0,0,0,99999,0
5,It goes a long way!,My daughter loves this latex. She's used it several times and the bottle is still almost full!,1,TRUE,0,85,0,2,0,0,0,99999,0
1,To small,These are way to small for normal nail beds and I have small hands. They might fit a kid.,1,TRUE,0,84,0,0,1,0,0,99999,0
2,cheaply made,These are so flexible and not good quality.,0,TRUE,0,45,0,0,1,0,0,99999,0
5,Great Quality,"Item works perfect and has plenty of pockets for everything that she will need when she travels. Fits into a small carry on suitcase as well.",0,FALSE,1,128,0,3,0,0,0,99999,0
5,quality,great,0,TRUE,1,10,0,1,0,0,0,99999,0
5,Ponytail Must have,"It's duable for a protective style. Does tangle and you must do maintenance on it every day. Will purchase another one as a go through my process of getting my natural hair to grow.",1,TRUE,0,173,0,1,0,0,1,99999,0
4,Love my new shears,"Love my new shears, really smooth cut. Light weight, and comfortable fit. Only thing is it needs a spacer for the finger holes, they are too large.",0,FALSE,1,133,0,3,1,0,0,99999,0
5,BEST make-up cover up I have ever used,"BEST make-up cover up I have ever used! I have a lot of acne scarring on my chin and this has helped blend and cover those scars up.",0,TRUE,0,125,1,2,0,0,0,99999,0
4,Good stuff,Good stuff,1,TRUE,0,18,0,1,0,0,0,99999,0
5,Stocking stuffers,"I used these as stocking stuffers for Christmas and got so many compliments. I feel like everyone needed a new set when they couldn't find anything or needed something for when we travel. It's not a problem any more and it gives you more tools to use, some i don't even know what for.",0,FALSE,1,250,0,2,0,0,0,99999,0
5,Great,Wonderful!,0,FALSE,1,12,1,1,0,0,0,99999,0
1,Didn't smell like Baccarat rouge 540,Fragrance.,1,TRUE,1,25,0,0,1,0,0,99999,0
5,Highly recommend,Incredible quality!!!,0,FALSE,1,22,1,2,0,0,0,99999,0
5,Five Stars,"Bought this product for my wedding and it was amazing. I felt like and looked like a queen.",0,TRUE,0,91,0,2,0,0,0,99999,0
5,Lasts forever,"It actually grows off it doesn't come off at all. I have to buff and then soak, then scrape it off. An amazing product if you don't change your color too often.",0,TRUE,0,130,0,1,0,0,0,99999,0
5,Works,Perfect for washrooms without soap. Great for the road.,0,TRUE,0,55,0,2,0,0,0,99999,0
5,... only used this product once but so far so good!,I have only used this product once but so far so good! =D,0,TRUE,0,65,1,2,0,0,0,99999,0
5,Love this!,Makes lashing so much easier!!,0,TRUE,1,33,1,2,0,0,0,99999,0
5,no offensive perfumy smell,"This is wonderful shampoo. I'm so glad I tried it. I'm going to stick with it. I hate perfumes in my shampoo and this has only the slightest citrus smell. VERY minor smell. I have very fine, short hair so I was looking for something that wasn't a big heavy glop of gunk. The shampoo got my hair really clean and the conditioner left my hair really soft. And it's really inexpensive as well. I recommend it highly.",2,TRUE,0,394,0,5,0,0,0,99999,0
5,Best hair tool!,So easy to use. Was about to dry and fluff my hair in minutes,0,TRUE,0,59,0,1,0,0,0,99999,0
1,The lavendar smell one is way better. I won't purchase this one again,"Eh smell... and doesn't last. The lavendar smell one is way better. I won't purchase this one again",1,TRUE,0,92,0,1,2,0,0,99999,0
3,Okay,"These lashes are okay I cut them into individual pieces to apply, the style isn't for me and will not be purchasing again",0,TRUE,0,104,0,0,1,0,0,16924999.5,1
5,"Small, compact, great for hand sanitizers",Used for hand sanitizers and worked great!,0,TRUE,1,52,0,2,0,0,0,99999,0
1,not impressed,"does not apply and look as it states, I have lot's of lashes, so I expected the product to play up what I have, but it did not. Not even close",1,TRUE,0,120,0,0,2,0,0,99999,0
5,Love it!!!,Its expensive but worth it. You don't have to use much so it can last a long time,0,TRUE,0,73,1,1,0,0,0,99999,0
1,Arrived half empty and leaked all over the box it was sent in and spray bottle defective,"Which is a lot to take in for an item I cannot return. $15 for half a spray bottle that doesn't work is a disgrace. Smells fine, I re-ordered (this time the larger size) because I liked the scent. Feel ripped off with such poor care taken in sending this product.",0,TRUE,0,252,0,1,1,0,0,99999,0
5,Five Stars,"I liked the brush, it does the job.",0,TRUE,0,40,0,1,0,0,0,99999,0
2,Weird,"I purchased the Lume Bay Rum scent. I opened and used it on freshly clean armpits and I now smell like rotting Christmas tree (really the only way I can describe it).<br /><br />Time will tell how long my armpits will stay smelling this way (longevity) and whether it will cause any irritation etc.<br /><br />I cannot recommend (at least) this scent. I wonder if other scents are better?",0,TRUE,0,319,0,0,3,0,0,99999,0
5,Great product,Great size,0,TRUE,1,17,0,1,0,0,0,99999,0
1,Good,Photo doesn't show how bright it is.,0,FALSE,1,33,0,1,0,0,0,99999,0
5,Good product in good condition,Came in good condition and on time.,0,TRUE,1,44,0,1,0,0,0,99999,0
5,Wonderful,Would buy again!,0,FALSE,1,17,0,1,0,0,0,99999,0
3,The container is tiny,"This mustache wax did the job of holding my mustache and beard in place. The problem is, I had a lot of beard and mustache but the amount of wax was small for the money. The container was almost the size of a lip stick container.<br />I have since cut off all my facial hair as it was just getting too much to deal with. I have to color it and that is a messy objective in and of itself. I was getting more color on my face then on my beard. The wax couldn't fix this but, oh well...",0,TRUE,0,395,0,1,2,0,0,99999,0
5,Arrived on time,Love the hair,1,TRUE,1,22,0,1,0,0,0,99999,0
3,Three Stars,Very cute Koala and Flower bows.,1,TRUE,1,29,0,1,0,0,0,99999,0
5,Love it,"My daughter uses this for her curly hair, this product makes it so easy to comb through. She loves this product.",0,TRUE,1,95,0,2,0,0,0,99999,0
5,Best Shampoo for Thin Hair,Best shampoo and conditioner ever!,0,TRUE,1,32,0,2,0,0,0,99999,0
1,Hard pass,"Yes, decided to get a ""cheap"" wig. . . You get what you pay for, but the use of large plastic piece as part of the wig cap on front of the hairline makes wearing this extremely uncomfortable.",2,TRUE,0,152,0,0,1,0,1,99999,0
5,Makes my hair shiny and healthy,"Used it on my Granddaughters just washed hair. No tangles and no tears.",0,TRUE,0,77,0,2,0,0,1,99999,0
5,Best Lashes Ever!!,Love them wish they still sold them in the stores,0,TRUE,0,49,0,1,0,0,0,99999,0
1,One Star,"junk, cheaply made",0,TRUE,1,17,0,0,2,0,0,99999,0
5,Pretty mink lashes,"I loved these no lie there so perfect for the price and you also get a cute little gift with them 😊",0,TRUE,0,90,0,2,0,0,0,99999,0
5,Works well,"This brand is thick and works well to protect from the sun. I found it first at Mayo Clinic and I trust them. I have bought about 6 bottles so far this summer.",0,TRUE,0,150,0,2,0,0,0,99999,0
1,Highly recommend,Best ever!,0,FALSE,1,13,0,1,0,0,0,99999,0
5,Five Stars,Fun,0,TRUE,1,7,0,1,0,0,0,99999,0
5,Great for the price!,These are great razors and last a long time.,0,TRUE,0,53,0,2,0,0,0,99999,0
1,Great,Best purchase ever!!!,0,FALSE,1,22,1,1,0,0,0,99999,0
5,ManiPedi Set on the go!,"Happy that I made this purchase! The kid has everything you need in it. I love how the case comes in different designs. If you like me, and find yourself needing a file while out or Clippers, this is a perfect day to fit in your purse.",0,TRUE,0,220,2,2,0,0,0,99999,0
2,Shampoo poorly closed,"To be honest, I have bought this shampoo many times and this is the first time it happens. The bottle wasn't completely closed so some shampoo had dripped. You could even see shampoo on the paper where it comes wrapped of. The thing is that I bought two, and both came in the same conditions even though they were individually wrapped. It wasn't a lot that it dripped but still if I'm paying $28 I want a perfect product.",0,TRUE,1,349,0,0,1,0,0,99999,0
5,Highly recommend,Attached screenshot is inaccurate.,0,FALSE,1,31,0,1,0,0,0,99999,0
5,Good buy,Fits under a mask perfectly,0,TRUE,1,30,0,1,0,0,0,99999,0
5,so it smells pleasant but not like carrots as you might think,"A lovely authentic oil. This is the real deal, so it smells pleasant but not like carrots as you might think.",3,TRUE,0,107,0,2,0,0,0,99999,0
5,EVERYTHING you could need,"There isn't a tool you could possibly need after buying this. It's loaded with everything you could want. This goes in our suitcase when we travel.",0,FALSE,1,119,0,1,0,0,0,99999,0
5,Five Stars,prefer the shorter wider felt tip on the brush,0,TRUE,0,38,0,1,0,0,0,99999,0
5,Good product,Good product,0,TRUE,1,16,0,1,0,0,0,99999,0
5,Five Stars,its a good product,0,TRUE,1,17,0,1,0,0,0,99999,0
1,Did not work for me,Return the first day,0,TRUE,1,21,0,0,0,0,0,99999,0
4,I love these masks,"I have bought a number of these masks. They are breathable and fit well with the adjustable straps. I don't want to try any others because I fear they won't be as good as these are. Highly recommended. I gave it 4 stars because I want the option to buy three masks of the same color. I don't care for the color of all the masks in the three pack, so I won't use some of them and they go to waste.",0,FALSE,1,317,0,3,0,0,0,99999,0
3,Good but not great,"Great color match with good coverage. The applicator gets messy quickly and the product when pressing down comes onto the back of the sponge applicator. Also very hard to tell how much product is left you can't see it like you would in other products.",0,TRUE,1,201,0,2,1,0,0,99999,0
3,"Good for mild redness, not severe","I tested this is two areas. I had a small pimple on my forehead but it was causing redness around it. This powder/cream hid it pretty well and evened out my skintone better. However, the other area I tried was my chest. I have permanent redness at the top of my chest from getting sunburned too many times. For that area, it did nothing at all. It's not super red, it's just a larger area. That was really the reason I wanted to try this product; for my chest. I suppose I can use it for the occasional small blemishes as long as they are mild.",0,FALSE,1,416,0,1,0,0,0,99999,0
5,As descrubed,"You get a lot of them, all black. They are what I needed",0,TRUE,0,58,0,1,0,0,0,99999,0
1,Nice,Best ever!,0,FALSE,1,10,0,1,0,0,0,99999,0
5,Best brand for day and night,"I have to wear a wig and I gets tuns of complaints , I also sleep in mine !noricobis the best brand!!!",2,FALSE,1,99,1,2,0,0,0,99999,0
1,"Hard to wash off, smells bad","I'm a pale redhead with lots of sunscreen experience. I bought a small bottle of Garden Goddess Sport and applied it to my arms Sautrsay morning. I've taken three showers since then and have really scrubbed my arms. But it is still there! I can still smell its unpleasant scent and I can see the whiteness of it. I can't really speak to have effective it was since I didn't end up being outside for very long. But I do know that I will never use this sunscreen again.",1,FALSE,1,336,0,0,1,0,0,99999,0
5,fun,"Fun Stuff, real pretty for costume jewerly",0,TRUE,1,33,0,1,0,0,0,99999,0
1,Best ever,Exactly as described.,0,FALSE,1,22,0,1,0,0,0,99999,0
5,Perfect!,"My 4 year old daughter hates having her hair brushed because of her fine hair tangling like cotton candy. After many fights, crying spells, and &#34;Just forget it, your mom can do it when you go home!&#34; moments, I broke down and ordered the Mercier. The day it got here, she begged me to brush her hair. Plus, it's pink, her favorite color! Brushed from the tips, slowly working up 1&#34; at a time. No tears, no running, and only one &#34;ouch&#34; from daddy being rough. I cannot say enough good things about this magnificent brush!!!!!!",4,TRUE,1,433,5,6,0,0,0,99999,0
5,Love it,Love the way they bring a little more style to my locs,0,TRUE,1,53,0,2,0,0,0,99999,0
5,Easy beauty tool,This is my new fav product.,0,TRUE,1,28,0,1,0,0,0,99999,0
1,"This is not a lip stain as stated, it ...","This is not a lip stain as stated, it does not dry or set, it wipes off and does not stay on.",0,TRUE,0,91,0,0,1,0,0,99999,0
5,Super Cute & Barely Slip,"I normally can't wear all around the head handbands because my head is way too big. But these barely slip and the bow has wires in it to make positioning easier. Not to mention the variety of colors - I originally bought these for my sister but noticed how cute they were and bought some for myself and they did not disappoint!",1,TRUE,0,285,0,3,0,0,0,99999,0
3,I like em,"They're definitely not double weft. And that's fine. They are human hair cause I got to color them. I bought the blonde ones. But I accidentally colored then pink whoops. But they're good. My natural hair is about shoulder length rn I added a pic of that.. my hair is naturally very thin so if you have thick blunt hair it wont blend and that's the bottom line. Either thin your hair, buy more packs or suck it up.",0,TRUE,0,347,0,1,1,0,1,99999,0
1,TERRIBLE PRODUCT,"I bought this for my wife. She used it 2 or 3 times and the motor burned up. Of course it is too late to return it by a few weeks so I'm out the money. Stay as far away from this product as you can. It made me select one star to submit this or it would be zero.",2,TRUE,0,215,0,0,1,0,0,99999,0
5,It's not hard to used not unlike the donut!,Omg! This is the best for my hair I really2 loved it!,1,TRUE,0,67,1,2,0,0,0,99999,0
3,Did not like it at all,It does not have a good water pressure.,0,TRUE,0,43,0,0,1,0,0,99999,0
4,You actually get what's in the picture!,"I love them. The locs came a day early. The packaging was very cute and compact. No surprises, what you see in the picture, is actually what you get! I for sure thought 1 pack wouldn't be enough so I bought 2 and only used one and had some left over. They look really natural, the color is sooo vibrant, and they feel amazing, so soft. I can't wait to try and curl them.",10,TRUE,0,317,1,4,0,0,1,99999,0
5,Wonderful Vitamin E cream!,Best cream I have ever used. It disappears quickly when you apply and leaves your skin very soft and smooth. It has a faint and desirable odor which disappears as applied.,1,TRUE,0,138,0,3,0,0,0,99999,0
5,The best ever!,"This is the best mascara I have ever used! Goes on great and stays on! No smudging. Comes off with water. The price is amazing. My favorite mascara ever! Awesome product!",0,TRUE,1,147,2,4,0,0,0,99999,0
5,Worth to buy,Great stuff,0,TRUE,1,15,0,1,0,0,0,99999,0
1,I'm pissed,"When I seen the picture it was the color of my hair when it came it's a different color I'm pissed Mother's Day Sunday now I have to run out n buy some more hair a waist of time",1,TRUE,0,131,0,0,1,0,1,99999,0
2,Not as i expected,"I didn't know i can get it from 99 cent store for just 5 dollars. It didn't do a good job as i expected. The dead skin is not going away, and it will be the same tomorrow after i use it today.",0,TRUE,0,167,0,0,1,0,0,99999,0
